numSample,radar_X_m,radar_Y_m,radar_Z_m,dim_X_m,dim_Y_m,dim_Z_m,rotation_y,class
152,58.03,0.17,-0.0,4.7,2.0,1.95,-0.02,1
153,58.27,0.17,-0.34,4.77,2.02,1.44,-0.0,1
154,58.54,0.13,0.16,4.7,2.0,1.7,-0.0,1
155,58.65,0.12,-0.36,4.7,2.0,1.7,-0.0,1
155,100.86,-0.52,-0.75,4.7,2.11,1.7,0.09,1
156,58.96,0.2,-0.01,4.72,2.01,1.98,0.0,1
157,59.0,0.11,-0.85,4.7,2.07,1.7,0.04,1
158,59.24,0.07,0.26,4.75,2.09,1.46,0.01,1
159,59.29,-0.03,-0.14,4.7,2.0,1.7,0.01,1
159,99.16,-0.86,-0.35,4.7,2.0,1.7,0.01,1
160,59.52,-0.23,-1.0,4.7,2.0,1.7,-0.01,1
161,59.67,-0.05,-0.09,4.7,2.02,2.18,0.0,1
162,59.62,-0.28,-0.92,4.7,2.0,1.7,-0.01,1
163,59.7,-0.39,0.62,4.73,2.0,1.7,-0.02,1
164,59.6,-0.37,-0.37,4.7,2.0,1.51,0.0,1
165,59.65,-0.49,0.5,4.7,2.0,1.7,-0.02,1
166,59.57,-0.41,-1.0,4.7,2.05,1.7,-0.02,1
167,59.64,-0.51,0.02,4.7,2.0,2.04,-0.02,1
168,59.47,-0.4,-0.25,4.7,2.0,1.7,-0.01,1
169,59.34,-0.36,0.89,4.7,2.0,1.7,0.01,1
170,59.14,-0.41,-0.33,4.7,2.0,1.49,0.01,1
171,59.14,-0.43,0.59,4.7,2.0,1.7,-0.01,1
172,58.57,-0.2,0.54,4.7,2.0,1.7,0.01,1
174,58.14,0.04,0.52,4.7,2.0,1.7,-0.02,1
176,57.82,0.1,0.8,4.7,2.0,1.7,0.01,1
178,57.21,0.14,0.84,4.7,2.0,1.7,0.0,1
180,56.71,0.37,0.54,4.7,2.0,1.7,0.0,1
181,56.47,0.46,0.41,4.7,2.0,1.7,0.0,1
182,56.24,0.31,0.5,4.74,2.03,1.44,0.0,1
184,54.71,0.43,-0.32,4.7,2.0,1.7,0.0,1
185,54.6,0.47,0.58,4.7,2.0,1.84,0.0,1
186,54.33,0.56,0.02,4.7,2.0,1.79,0.0,1
187,54.18,0.53,0.51,4.7,2.0,1.7,0.0,1
188,53.9,0.53,0.04,4.7,2.0,1.74,0.0,1
189,53.77,0.57,0.44,4.7,2.0,1.88,0.0,1
190,53.6,0.57,0.23,4.7,2.09,1.7,0.0,1
192,53.27,0.63,-0.02,4.7,2.0,1.85,0.0,1
193,53.2,0.55,1.14,4.72,2.03,1.63,-0.0,1
194,53.09,0.64,0.0,4.71,2.0,1.77,-0.01,1
195,52.98,0.57,1.07,4.7,2.0,1.7,0.0,1
196,52.82,0.44,1.14,4.7,2.0,1.7,0.0,1
197,52.82,0.47,0.03,4.7,2.0,1.75,0.0,1
199,52.81,0.47,0.01,4.7,2.0,1.84,0.0,1
200,52.87,0.42,0.76,4.7,2.0,1.7,0.0,1
201,52.96,0.4,0.1,4.7,2.0,1.7,0.0,1
202,53.01,0.47,1.01,4.7,2.0,1.96,0.03,1
203,53.13,0.45,0.02,4.7,2.0,1.73,0.0,1
204,53.27,0.38,0.56,4.7,2.0,1.7,0.0,1
205,53.41,0.36,0.47,4.7,2.0,1.7,0.0,1
214,55.84,0.77,0.59,4.7,2.0,1.82,0.03,1
218,57.22,0.96,0.0,4.71,2.05,1.91,0.0,1
219,57.51,1.11,-0.06,4.7,2.0,1.7,0.0,1
220,57.84,1.12,0.2,4.7,2.0,1.7,0.0,1
221,57.97,1.21,-0.12,4.7,2.0,1.7,0.0,1
225,59.53,1.21,0.68,4.7,2.0,1.7,0.0,1
226,59.76,1.34,-0.79,4.7,2.0,1.7,0.0,1
228,60.14,1.36,-0.84,4.7,2.0,1.7,0.0,1
229,60.45,1.39,0.22,4.7,2.0,1.7,0.0,1
230,60.54,1.41,-0.39,4.7,2.0,1.7,0.0,1
231,60.81,1.4,0.25,4.7,2.0,1.7,0.0,1
232,60.93,1.4,-0.61,4.7,2.0,2.01,0.0,1
233,61.14,1.52,0.21,4.7,2.0,1.7,0.0,1
234,61.26,1.39,-1.15,4.7,2.09,1.94,0.0,1
235,61.41,1.48,0.0,4.74,2.09,2.05,0.01,1
236,61.46,1.42,-1.0,4.7,2.0,1.7,0.02,1
238,61.69,1.47,-0.24,4.7,2.0,1.7,0.0,1
240,61.91,1.52,-0.63,4.73,2.06,2.07,-0.0,1
241,61.88,1.4,-1.17,4.7,2.06,1.7,0.0,1
242,61.94,1.54,-0.23,4.7,2.06,1.7,0.0,1
243,61.97,1.41,-0.21,4.7,2.0,1.7,0.0,1
244,62.04,1.5,0.22,4.7,2.0,1.7,0.0,1
245,61.96,1.28,-0.84,4.7,2.0,1.7,0.0,1
246,62.13,1.32,0.04,4.7,2.0,2.01,6.28,1
247,62.11,1.25,-0.0,4.7,2.0,2.15,0.0,1
248,62.19,1.37,0.23,4.7,2.0,1.7,0.0,1
251,62.31,1.18,0.27,4.7,2.0,1.7,0.0,1
252,62.3,1.12,-0.29,4.7,2.0,1.7,0.0,1
253,62.36,1.03,1.17,4.7,2.0,1.7,0.0,1
256,62.31,1.17,-0.3,4.7,2.0,1.7,0.03,1
257,62.33,1.15,0.39,4.7,2.05,1.7,0.0,1
258,62.23,1.03,-0.21,4.7,2.0,1.7,0.0,1
259,62.21,1.05,0.42,4.7,2.0,1.7,0.0,1
260,62.0,1.02,-0.24,4.7,2.11,1.7,0.0,1
261,62.08,1.07,0.19,4.7,2.0,1.7,0.0,1
262,61.84,1.1,-0.11,4.7,2.0,1.7,0.0,1
263,61.72,1.0,-0.42,4.7,2.0,1.7,0.0,1
264,61.44,0.98,-0.22,4.7,2.0,1.7,0.0,1
265,61.41,1.09,0.07,4.7,2.0,2.01,0.0,1
266,61.13,0.98,0.03,4.7,2.0,1.98,0.0,1
267,61.01,0.88,-0.79,4.7,2.0,1.7,0.0,1
267,93.66,2.46,-0.76,4.7,2.0,1.7,0.0,1
269,60.87,0.77,0.24,4.7,2.12,1.7,0.0,1
269,142.85,-2.5,-0.01,4.7,2.0,1.9,0.0,1
271,60.83,0.87,-0.2,4.7,2.0,1.7,0.06,1
346,26.8,0.1,0.68,4.7,2.0,1.7,0.0,1
347,26.95,0.17,0.26,4.74,2.01,1.42,0.02,1
349,27.09,0.3,-0.01,4.74,2.07,1.44,0.04,1
394,32.27,0.21,0.38,4.7,2.0,1.7,0.02,1
395,32.33,0.33,0.04,4.7,2.0,1.7,0.0,1
396,32.46,0.62,0.04,4.7,2.0,1.7,0.0,1
397,32.58,0.94,-0.02,4.7,2.0,1.7,0.08,1
399,32.79,1.5,0.41,4.7,2.0,1.7,0.17,1
400,32.81,1.63,0.0,4.7,2.0,1.7,0.12,1
401,33.02,1.95,0.37,4.7,2.0,1.7,0.15,1
402,33.03,2.03,-0.09,4.7,2.0,1.7,0.15,1
403,33.17,2.07,0.38,4.7,2.0,1.7,0.12,1
404,33.35,2.2,0.4,4.7,2.0,1.7,0.15,1
405,33.43,2.31,0.23,4.7,2.0,1.7,0.12,1
406,33.5,2.31,0.19,4.7,2.0,1.7,0.12,1
407,33.62,2.3,0.36,4.7,2.0,1.73,0.12,1
408,33.67,2.51,0.62,4.7,2.0,1.7,0.18,1
409,33.74,2.41,0.32,4.7,2.0,1.7,0.13,1
412,34.0,2.59,0.51,4.71,2.03,1.75,0.1,1
413,34.0,2.68,0.35,4.7,2.0,1.84,0.18,1
414,34.1,2.63,0.55,4.7,2.0,1.7,0.18,1
417,34.3,2.82,0.1,4.7,2.06,1.7,0.21,1
418,34.44,2.82,0.51,4.74,2.01,1.47,0.19,1
420,34.48,2.89,0.34,4.72,2.04,1.82,0.19,1
422,34.61,3.11,0.4,4.7,2.0,1.76,0.21,1
422,80.04,-33.25,-1.0,4.7,2.09,1.7,-0.66,1
423,34.61,3.12,-0.34,4.7,2.04,1.83,0.15,1
424,34.57,3.29,0.38,4.7,2.0,1.7,0.22,1
425,34.68,3.41,-0.02,4.7,2.0,1.7,0.18,1
427,34.73,3.55,0.59,4.7,2.0,1.7,0.21,1
429,34.82,3.62,0.58,4.7,2.0,1.7,0.27,1
430,34.84,3.57,0.65,4.7,2.0,1.7,0.18,1
431,34.91,3.71,0.58,4.7,2.0,1.7,0.24,1
432,34.98,3.65,0.72,4.7,2.0,1.7,0.21,1
433,35.11,3.76,0.35,4.71,2.09,1.86,0.21,1
434,35.05,3.82,0.65,4.7,2.03,1.7,0.24,1
435,35.15,3.74,0.39,4.7,2.0,1.78,0.21,1
436,35.22,3.73,0.65,4.7,2.0,1.7,0.18,1
437,35.32,3.85,0.41,4.7,2.0,1.84,0.24,1
438,35.58,3.53,0.52,4.7,2.0,1.7,0.12,1
439,35.61,3.58,0.71,4.7,2.0,1.7,0.15,1
440,35.74,3.62,0.57,4.7,2.0,1.7,0.18,1
566,22.34,1.82,0.43,4.7,2.0,1.41,0.15,1
566,38.89,5.05,1.03,4.7,2.0,1.7,0.33,1
566,81.59,25.77,0.66,4.7,2.0,1.7,0.63,1
566,79.76,30.1,0.67,4.7,2.0,1.7,0.75,1
566,89.48,39.61,0.83,4.7,2.0,1.7,0.9,1
574,24.46,2.92,0.46,4.7,2.0,1.7,0.26,1
574,40.49,8.47,0.54,4.7,2.0,1.7,0.42,1
575,10.29,5.01,0.44,4.7,2.0,1.7,0.12,1
575,26.22,3.69,0.5,4.7,2.0,1.7,0.3,1
575,42.19,9.93,0.68,4.7,2.0,1.82,0.39,1
576,10.78,5.07,0.3,4.7,2.03,1.42,0.11,1
576,26.55,3.85,0.26,4.7,2.05,1.49,0.28,1
576,30.02,21.33,0.31,4.77,2.02,1.42,0.31,1
576,42.58,10.07,0.65,4.7,2.03,1.88,0.32,1
581,13.3,5.55,0.56,4.7,2.0,1.7,0.13,1
581,27.53,4.37,0.61,4.7,2.0,1.7,0.3,1
581,43.66,11.05,1.0,4.7,2.0,1.7,0.44,1
581,29.17,21.84,0.92,4.7,2.0,1.7,3.59,1
582,13.71,5.66,0.26,4.47,1.94,1.46,0.14,1
582,27.85,4.46,0.33,4.7,2.0,1.7,0.32,1
582,24.0,20.07,0.72,4.7,2.0,1.45,3.5,1
582,43.9,11.25,-0.26,4.7,2.0,2.04,0.39,1
582,45.0,31.25,0.53,4.7,2.0,1.7,3.83,1
583,14.33,5.81,0.49,4.7,2.0,1.7,0.16,1
583,28.1,4.58,0.43,4.7,2.0,1.7,0.33,1
583,18.55,18.5,0.87,4.7,2.0,1.7,3.44,1
583,44.28,11.09,0.72,4.7,2.0,1.92,0.36,1
583,40.41,28.38,0.39,4.7,2.0,1.7,3.71,1
584,14.88,5.87,0.48,4.7,2.08,1.67,0.18,1
584,28.33,4.64,0.43,4.7,2.0,1.7,0.3,1
584,44.42,11.28,0.61,4.7,2.0,1.7,0.39,1
584,13.22,17.15,0.83,4.7,2.0,1.7,3.35,1
584,35.6,25.44,1.08,4.7,2.0,1.7,3.47,1
585,15.18,5.89,0.49,4.43,2.0,1.5,0.15,1
585,28.49,4.62,0.47,4.7,2.0,1.7,0.33,1
585,44.47,11.47,0.97,4.7,2.0,1.7,0.51,1
585,8.88,16.59,0.92,4.7,2.0,1.7,3.35,1
585,30.56,23.47,0.76,4.7,2.0,1.7,3.59,1
585,37.16,30.97,0.71,4.7,2.0,1.7,3.71,1
590,18.71,6.41,0.56,4.7,2.0,1.7,0.21,1
590,30.18,5.16,0.63,4.7,2.0,1.7,0.36,1
590,45.82,11.83,0.49,4.7,2.0,1.7,0.51,1
591,19.14,6.51,0.37,4.7,2.0,1.7,0.24,1
591,30.45,5.16,0.23,4.7,2.0,1.72,0.3,1
591,45.75,12.09,-0.51,4.7,2.0,1.7,0.6,1
594,20.24,6.89,0.57,4.7,2.12,1.7,0.26,1
594,30.94,5.59,0.61,4.7,2.0,1.7,0.42,1
594,46.26,12.27,1.07,4.7,2.0,1.7,0.57,1
596,21.08,6.94,0.4,4.7,2.0,1.7,0.21,1
596,31.49,5.55,0.37,4.7,2.0,1.7,0.33,1
596,46.65,12.27,0.08,4.7,2.0,1.7,0.45,1
601,24.27,7.7,0.16,4.7,2.0,1.7,0.24,1
601,32.56,5.8,0.3,4.7,2.0,1.7,0.37,1
601,47.98,12.28,0.1,4.7,2.0,1.7,0.39,1
602,32.7,5.73,0.62,4.7,2.0,1.7,0.42,1
602,24.81,7.82,0.4,4.7,2.0,1.7,0.27,1
602,48.14,12.35,0.48,4.7,2.0,1.7,0.48,1
614,7.82,3.46,0.43,4.76,2.06,1.44,-0.03,1
614,36.1,-0.47,-0.23,4.73,2.02,1.43,-0.02,1
614,37.48,3.1,-0.18,4.79,2.06,1.62,-0.01,1
616,8.92,3.24,0.34,4.78,2.0,1.4,-0.02,1
616,36.12,-0.86,-0.59,4.77,2.01,1.43,-0.02,1
616,39.29,2.54,-0.71,4.75,2.02,1.46,-0.02,1
616,22.49,14.93,0.48,4.7,2.0,1.7,3.14,1
632,29.73,1.53,0.41,4.7,2.0,1.7,-0.15,1
632,39.34,-3.7,0.57,4.7,2.0,1.76,-0.15,1
632,54.08,-2.95,-0.1,4.7,2.0,1.7,-0.29,1
632,62.99,-8.75,-0.29,4.7,2.0,1.7,-0.3,1
633,8.17,2.81,0.59,4.7,2.0,1.7,-0.03,1
633,30.05,1.54,0.69,4.7,2.0,1.7,-0.15,1
633,39.46,-3.77,0.62,4.7,2.0,1.7,-0.19,1
633,54.34,-2.85,1.16,4.7,2.0,1.73,-0.24,1
633,63.39,-8.77,1.37,4.7,2.0,2.04,-0.21,1
633,118.88,-25.44,2.02,4.7,2.0,1.7,-0.42,1
633,122.19,-31.34,2.1,4.7,2.0,1.7,-0.39,1
633,132.64,-31.59,2.3,4.7,2.0,1.7,5.89,1
635,30.56,1.49,0.6,4.7,2.0,1.7,6.13,1
635,39.76,-3.82,0.6,4.7,2.0,1.7,-0.21,1
635,54.63,-3.1,1.12,4.7,2.05,1.82,-0.24,1
635,63.84,-9.03,1.14,4.7,2.14,1.7,-0.27,1
636,9.85,2.74,0.53,4.7,2.0,1.7,-0.05,1
636,30.83,1.6,0.69,4.7,2.0,1.7,-0.12,1
636,39.74,-3.78,0.64,4.7,2.0,1.72,-0.18,1
636,54.84,-2.95,0.43,4.7,2.0,1.7,-0.21,1
636,64.1,-9.01,1.2,4.7,2.0,1.7,-0.3,1
636,119.53,-25.95,1.27,4.7,2.0,1.7,-0.54,1
636,125.13,-32.6,1.35,4.7,2.0,1.7,-0.48,1
637,10.34,2.73,0.65,4.7,2.0,1.7,-0.06,1
637,31.09,1.63,0.68,4.7,2.0,1.7,-0.15,1
637,39.91,-3.59,0.83,4.7,2.0,1.7,-0.18,1
637,55.04,-2.86,0.76,4.7,2.0,1.7,-0.21,1
637,64.42,-8.82,0.92,4.7,2.0,1.98,-0.24,1
637,120.01,-25.76,2.61,4.7,2.0,1.7,-0.39,1
637,126.39,-32.08,2.87,4.7,2.0,1.7,-0.39,1
637,134.3,-31.15,3.16,4.7,2.0,1.7,-0.36,1
638,31.29,1.64,0.37,4.7,2.0,1.7,-0.12,1
638,40.03,-3.82,0.21,4.7,2.0,1.7,-0.18,1
638,55.28,-3.01,-0.02,4.7,2.0,1.7,-0.21,1
638,64.71,-8.61,0.32,4.7,2.0,1.7,-0.12,1
638,120.33,-26.24,0.81,4.7,2.0,1.7,-0.39,1
638,125.26,-32.16,0.81,4.7,2.0,1.7,-0.33,1
638,132.8,-31.23,0.87,4.7,2.0,1.7,-0.3,1
639,11.63,2.68,0.46,4.73,2.01,1.4,-0.05,1
639,31.63,1.64,0.47,4.79,2.05,1.4,-0.12,1
639,40.24,-3.74,0.77,4.77,2.01,1.4,-0.14,1
639,55.56,-3.03,1.2,4.73,2.01,1.71,-0.2,1
639,65.04,-9.0,1.42,4.72,2.0,2.03,-0.23,1
640,31.68,1.68,0.6,4.7,2.0,1.7,-0.12,1
640,40.27,-3.78,0.59,4.7,2.0,1.82,-0.15,1
640,55.76,-2.81,-0.55,4.7,2.0,1.91,-0.15,1
641,12.66,2.61,0.5,4.7,2.0,1.7,-0.09,1
641,31.93,1.7,0.32,4.7,2.0,1.73,-0.12,1
641,40.23,-3.99,0.59,4.7,2.0,1.81,-0.15,1
641,56.04,-3.2,-0.46,4.7,2.0,1.7,-0.21,1
641,65.56,-9.03,1.16,4.7,2.0,1.7,-0.27,1
642,32.26,1.62,0.38,4.7,2.0,1.7,-0.15,1
642,40.41,-3.95,0.62,4.7,2.0,1.82,-0.18,1
642,56.43,-3.01,-0.06,4.7,2.0,1.7,-0.18,1
642,66.02,-8.84,0.46,4.7,2.0,1.7,-0.21,1
643,13.5,2.55,0.61,4.7,2.0,1.7,-0.06,1
643,32.53,1.7,0.61,4.7,2.0,1.7,-0.15,1
643,40.46,-4.0,1.07,4.7,2.0,1.7,-0.12,1
643,56.67,-3.05,1.25,4.7,2.0,1.82,-0.15,1
643,66.03,-9.07,1.21,4.7,2.0,1.7,-0.27,1
644,15.61,2.48,0.47,4.7,2.0,1.7,-0.06,1
644,33.82,1.59,0.21,4.7,2.0,1.7,-0.18,1
644,41.34,-4.07,-0.52,4.7,2.0,1.7,-0.09,1
644,58.67,-2.77,-0.43,4.7,2.0,1.7,-0.06,1
645,16.11,2.49,0.59,4.7,2.0,1.7,-0.09,1
645,34.01,1.66,0.47,4.7,2.0,1.7,-0.12,1
645,59.09,-3.02,1.27,4.7,2.0,1.91,-0.18,1
645,68.1,-8.86,1.2,4.7,2.0,1.7,-0.21,1
645,41.56,-4.21,0.7,4.7,2.0,1.7,-0.12,1
647,16.7,2.47,0.56,4.7,2.0,1.7,-0.09,1
647,34.6,1.47,0.52,4.7,2.0,1.7,-0.15,1
647,41.98,-3.8,0.52,4.7,2.0,1.7,-0.09,1
647,59.88,-2.95,1.16,4.7,2.0,1.7,-0.18,1
647,68.77,-8.7,1.25,4.7,2.0,1.7,-0.24,1
669,44.31,-0.22,0.24,4.7,2.0,1.7,0.0,1
669,49.89,4.39,0.1,4.7,2.0,1.7,0.0,1
669,65.48,7.84,-0.22,4.7,2.0,1.7,0.0,1
669,73.42,3.87,-0.23,4.7,2.0,1.7,0.0,1
669,142.81,3.68,-0.0,4.73,2.53,1.88,0.0,1
680,75.89,3.25,-0.28,4.7,2.0,1.7,0.0,1
680,78.82,7.17,-0.02,4.7,2.0,1.7,0.0,1
680,53.41,-0.7,0.41,4.7,2.0,1.7,0.0,1
699,8.36,4.21,0.53,4.7,2.0,1.7,-0.01,1
699,9.65,17.73,0.25,4.7,2.0,1.7,3.14,1
699,92.13,3.1,1.1,4.7,2.04,1.7,0.0,1
699,102.12,7.06,1.14,4.7,2.0,1.7,0.0,1
699,116.64,-1.49,0.9,4.7,2.0,1.7,0.0,1
701,9.51,4.09,0.54,4.7,2.0,1.7,-0.03,1
701,93.17,3.52,-1.36,4.7,2.28,1.7,0.0,1
701,103.37,7.39,-1.41,4.7,2.0,1.7,0.0,1
701,118.86,-1.63,-1.57,4.7,2.0,1.7,0.0,1
702,9.85,4.05,0.32,4.7,2.0,1.53,-0.02,1
702,93.65,3.62,-0.24,4.7,2.0,1.7,0.0,1
702,103.81,7.55,-0.54,4.7,2.0,1.7,0.0,1
702,119.63,-1.48,-0.54,4.7,2.0,1.7,0.0,1
702,136.74,7.44,-0.54,4.7,2.0,1.7,0.0,1
705,12.75,3.92,0.33,4.7,2.0,1.55,-0.03,1
705,96.68,4.34,-0.82,4.7,2.14,1.7,0.0,1
705,107.37,8.31,-1.0,4.7,2.0,1.7,0.0,1
705,124.68,-1.31,-1.0,4.7,2.0,1.7,0.0,1
708,14.85,3.91,0.43,4.7,2.0,1.7,-0.0,1
708,98.78,5.56,-0.17,4.7,2.0,1.7,0.0,1
708,110.18,9.49,-0.39,4.7,2.0,1.7,0.0,1
708,127.72,-1.23,-0.34,4.7,2.0,1.7,0.0,1
708,143.03,7.04,0.27,4.7,2.28,1.7,0.06,1
708,146.01,10.81,-0.5,4.7,2.0,1.7,0.09,1
710,16.78,4.26,0.47,4.7,2.0,1.7,0.0,1
710,100.65,6.28,0.47,4.7,2.0,1.7,0.0,1
711,19.74,4.96,0.35,4.7,2.0,1.7,0.0,1
711,103.38,7.71,-0.85,4.7,2.0,1.7,0.03,1
711,118.14,12.3,-1.0,4.7,2.0,1.7,0.0,1
711,132.19,-3.58,-1.0,4.7,2.0,1.7,0.0,1
712,20.22,5.12,0.56,4.7,2.0,1.7,0.0,1
712,103.59,8.08,1.03,4.7,2.0,1.7,0.06,1
712,132.33,-3.66,0.61,4.7,2.0,1.7,0.0,1
713,20.66,5.29,0.47,4.7,2.0,1.7,0.0,1
713,142.74,10.03,0.02,4.7,2.0,2.69,0.0,1
713,119.54,12.78,-0.79,4.7,2.0,1.7,0.0,1
713,103.99,8.4,-0.79,4.7,2.0,1.7,0.0,1
715,21.46,5.7,0.38,4.7,2.0,1.7,0.0,1
715,104.4,8.76,-0.48,4.7,2.0,1.7,0.0,1
715,121.1,13.65,-1.0,4.7,2.0,1.7,0.03,1
715,142.45,10.66,0.01,4.7,2.0,1.91,0.0,1
717,22.27,6.04,0.34,4.7,2.06,1.7,0.01,1
717,104.99,9.04,-0.66,4.7,2.0,1.7,0.0,1
717,122.63,13.71,-0.54,4.7,2.0,1.81,0.0,1
717,131.75,-4.3,-0.83,4.7,2.0,1.7,0.0,1
